Study,Year,Nospecies,Phylum,Taxon,Species,SppType,Phylum2,Phylum3,Trophicfunction,TrophicLevel,Lifeform,Biofouler,Popualtions,Morph,NativeNone,Latitude,Longitude,AbsolutLat,Number Locations,Location,Ecosystem,Climate,SeasonExpBegan,Stress,StressDirection,StressMax,StressAnomaly,Ambient,"Type (constant, gradual change, ramping, flucuating) ",PreExpAdjustmentd,Intensitydegrees,IntensityTime,IntTime,IntensityDurationd,ExpExposureDurationd,LatentStressDuration,Exptime,Frequency,Type of ex,MeasurementType,metadata,Bioresponse,Actual Response,Effect direction,TreatmentMean,Treatment var,Control Mean,Control var,var,TreatStd,ControlStd,Data source,SamplesizeC,SamplesizeT
Li et al 2019,2019,1,Heterokonta,Heterokonta,Saccharina latissima,Macrophyte,Macrophyte,Heterokonta,Primary producer,Autotroph,Plant,Yes,1,Juv,native,78.941759,12.259702,78.941759,1,Norway,Marine,Polar,Lab gen,Sal,Decrease,20,10,30,Constant,0,0,None,None,0,11,0,11,No,Lab,Ind,Yes,Growth,Growth,1,6.5684,0.7275,8.7423,0.7996,(±SD),0.7275,0.7996,Fig. S2b,5,5
Li et al 2019,2019,1,Heterokonta,Heterokonta,Saccharina latissima,Macrophyte,Macrophyte,Heterokonta,Primary producer,Autotroph,Plant,Yes,1,Juv,native,78.941759,12.259702,78.941759,1,Norway,Marine,Polar,Lab gen,Temp,Increase,15,7,8,Constant,0,0,None,None,0,7,0,7,No,Lab,Ind,Yes,Growth,Growth,1,14.3384,3.4684,14.3856,1.8148,(±SD),3.4684,1.8148,Fig. S2a,5,5
Li et al 2019,2019,1,Heterokonta,Heterokonta,Saccharina latissima,Macrophyte,Macrophyte,Heterokonta,Primary producer,Autotroph,Plant,Yes,1,Juv,native,78.941759,12.259702,78.941759,1,Norway,Marine,Polar,Lab gen,Temp,Increase,15,7,8,Constant,0,0,None,None,0,11,0,11,No,Lab,Ind,Yes,Growth,Growth,1,10.9322,4.1155,8.7429,0.7996,(±SD),4.1155,0.7996,Fig. S2b,5,5
Lind & Konar 2017,2017,3,Heterokonta,Heterokonta,Eualaria fistulosa,Macrophyte,Macrophyte,Heterokonta,Primary producer,Autotroph,Plant,Yes,1,Larval,native,59.750063,-151.088213,59.750063,1,Alaska,Esturine,Polar,Lab gen,Sal,Decrease,26,5,31,Constant,0,0,None,None,0,7,0,7,No,Lab,Ind,Yes,Growth,Growth,1,19.1359,0.4424,20.994,0.446,(±SE),0.989236473,0.997286318,Fig. 3,5,5
Lind & Konar 2017,2017,3,Heterokonta,Heterokonta,Nereocystis luetkeana,Macrophyte,Macrophyte,Heterokonta,Primary producer,Autotroph,Plant,Yes,1,Larval,native,59.750063,-151.088213,59.750063,1,Alaska,Esturine,Polar,Lab gen,Sal,Decrease,26,5,31,Constant,0,0,None,None,0,7,0,7,No,Lab,Ind,Yes,Growth,Growth,1,18.445,0.44,22.1718,0.4004,(±SE),0.98386991,0.895321618,Fig. 3,5,5
Lind & Konar 2017,2017,3,Heterokonta,Heterokonta,Saccharina latissima,Macrophyte,Macrophyte,Heterokonta,Primary producer,Autotroph,Plant,Yes,1,Larval,native,59.750063,-151.088213,59.750063,1,Alaska,Esturine,Polar,Lab gen,Sal,Decrease,26,5,31,Constant,0,0,None,None,0,7,0,7,No,Lab,Ind,Yes,Growth,Growth,1,25.1449,0.4985,28.9598,0.4531,(±SE),1.114679887,1.013162401,Fig. 3,5,5
Lind & Konar 2017,2017,3,Heterokonta,Heterokonta,Eualaria fistulosa,Macrophyte,Macrophyte,Heterokonta,Primary producer,Autotroph,Plant,Yes,1,Larval,native,59.750063,-151.088213,59.750063,1,Alaska,Esturine,Polar,Lab gen,Temp,Increase,13,4,9,Constant,0,0,None,None,0,7,0,7,No,Lab,Ind,Yes,Growth,Growth,1,14.1272,0.3117,20.994,0.446,(±SE),0.696982389,0.997286318,Fig. 3,5,5
Lind & Konar 2017,2017,3,Heterokonta,Heterokonta,Eualaria fistulosa,Macrophyte,Macrophyte,Heterokonta,Primary producer,Autotroph,Plant,Yes,1,Larval,native,59.750063,-151.088213,59.750063,1,Alaska,Esturine,Polar,Lab gen,Temp,Increase,17,8,9,Constant,0,0,None,None,0,7,0,7,No,Lab,Ind,Yes,Growth,Growth,1,3.4456,0.3095,20.994,0.446,(±SE),0.692063039,0.997286318,Fig. 3,5,5
Lind & Konar 2017,2017,3,Heterokonta,Heterokonta,Eualaria fistulosa,Macrophyte,Macrophyte,Heterokonta,Primary producer,Autotroph,Plant,Yes,1,Larval,native,59.750063,-151.088213,59.750063,1,Alaska,Esturine,Polar,Lab gen,Temp,Increase,21,12,9,Constant,0,0,None,None,0,7,0,7,No,Lab,Ind,Yes,Growth,Growth,1,1.3269,0.3099,20.994,0.446,(±SE),0.692957466,0.997286318,Fig. 3,5,5
Lind & Konar 2017,2017,3,Heterokonta,Heterokonta,Nereocystis luetkeana,Macrophyte,Macrophyte,Heterokonta,Primary producer,Autotroph,Plant,Yes,1,Larval,native,59.750063,-151.088213,59.750063,1,Alaska,Esturine,Polar,Lab gen,Temp,Increase,13,4,9,Constant,0,0,None,None,0,7,0,7,No,Lab,Ind,Yes,Growth,Growth,1,24.8102,0.4398,22.1718,0.4004,(±SE),0.983422697,0.895321618,Fig. 3,5,5
Lind & Konar 2017,2017,3,Heterokonta,Heterokonta,Nereocystis luetkeana,Macrophyte,Macrophyte,Heterokonta,Primary producer,Autotroph,Plant,Yes,1,Larval,native,59.750063,-151.088213,59.750063,1,Alaska,Esturine,Polar,Lab gen,Temp,Increase,17,8,9,Constant,0,0,None,None,0,7,0,7,No,Lab,Ind,Yes,Growth,Growth,1,21.7802,0.3071,22.1718,0.4004,(±SE),0.686696476,0.895321618,Fig. 3,5,5
Lind & Konar 2017,2017,3,Heterokonta,Heterokonta,Nereocystis luetkeana,Macrophyte,Macrophyte,Heterokonta,Primary producer,Autotroph,Plant,Yes,1,Larval,native,59.750063,-151.088213,59.750063,1,Alaska,Esturine,Polar,Lab gen,Temp,Increase,21,12,9,Constant,0,0,None,None,0,7,0,7,No,Lab,Ind,Yes,Growth,Growth,1,8.3218,0.3506,22.1718,0.4004,(±SE),0.783965433,0.895321618,Fig. 3,5,5
Lind & Konar 2017,2017,3,Heterokonta,Heterokonta,Saccharina latissima,Macrophyte,Macrophyte,Heterokonta,Primary producer,Autotroph,Plant,Yes,1,Larval,native,59.750063,-151.088213,59.750063,1,Alaska,Esturine,Polar,Lab gen,Temp,Increase,13,4,9,Constant,0,0,None,None,0,7,0,7,No,Lab,Ind,Yes,Growth,Growth,1,25.5171,0.4076,28.9598,0.4531,(±SE),0.911421308,1.013162401,Fig. 3,5,5
Lind & Konar 2017,2017,3,Heterokonta,Heterokonta,Saccharina latissima,Macrophyte,Macrophyte,Heterokonta,Primary producer,Autotroph,Plant,Yes,1,Larval,native,59.750063,-151.088213,59.750063,1,Alaska,Esturine,Polar,Lab gen,Temp,Increase,17,8,9,Constant,0,0,None,None,0,7,0,7,No,Lab,Ind,Yes,Growth,Growth,1,21.347,0.4531,28.9598,0.4531,(±SE),1.013162401,1.013162401,Fig. 3,5,5
Lind & Konar 2017,2017,3,Heterokonta,Heterokonta,Saccharina latissima,Macrophyte,Macrophyte,Heterokonta,Primary producer,Autotroph,Plant,Yes,1,Larval,native,59.750063,-151.088213,59.750063,1,Alaska,Esturine,Polar,Lab gen,Temp,Increase,21,12,9,Constant,0,0,None,None,0,7,0,7,No,Lab,Ind,Yes,Growth,Growth,1,11.7675,0.2717,28.9598,0.4531,(±SE),0.607539669,1.013162401,Fig. 3,5,5
Lind & Konar 2017,2017,3,Heterokonta,Heterokonta,Eualaria fistulosa,Macrophyte,Macrophyte,Heterokonta,Primary producer,Autotroph,Plant,Yes,1,Larval,native,59.750063,-151.088213,59.750063,1,Alaska,Esturine,Polar,Lab gen,Sal,Decrease,26,5,31,Constant,0,0,None,None,0,1,0,1,No,Lab,Ind,Yes,Reproduction,Spore settlement,1,13.4827,0.4388,15.2908,0.5718,(±SE),0.981186629,1.27858367,Fig. 2,5,5
Lind & Konar 2017,2017,3,Heterokonta,Heterokonta,Nereocystis luetkeana,Macrophyte,Macrophyte,Heterokonta,Primary producer,Autotroph,Plant,Yes,1,Larval,native,59.750063,-151.088213,59.750063,1,Alaska,Esturine,Polar,Lab gen,Sal,Decrease,26,5,31,Constant,0,0,None,None,0,1,0,1,No,Lab,Ind,Yes,Reproduction,Spore settlement,1,22.1524,1.6416,23.7459,1.598,(±SE),3.670729192,3.573236628,Fig. 2,5,5
Lind & Konar 2017,2017,3,Heterokonta,Heterokonta,Saccharina latissima,Macrophyte,Macrophyte,Heterokonta,Primary producer,Autotroph,Plant,Yes,1,Larval,native,59.750063,-151.088213,59.750063,1,Alaska,Esturine,Polar,Lab gen,Sal,Decrease,26,5,31,Constant,0,0,None,None,0,1,0,1,No,Lab,Ind,Yes,Reproduction,Spore settlement,1,16.0953,0.8991,16.8187,1.3935,(±SE),2.010448719,3.115960727,Fig. 2,5,5
Lind & Konar 2017,2017,3,Heterokonta,Heterokonta,Eualaria fistulosa,Macrophyte,Macrophyte,Heterokonta,Primary producer,Autotroph,Plant,Yes,1,Larval,native,59.750063,-151.088213,59.750063,1,Alaska,Esturine,Polar,Lab gen,Temp,Increase,13,4,9,Constant,0,0,None,None,0,1,0,1,No,Lab,Ind,Yes,Reproduction,Spore settlement,1,6.2717,0.3917,15.2908,0.5718,(±SE),0.875867827,1.27858367,Fig. 2,5,5
Lind & Konar 2017,2017,3,Heterokonta,Heterokonta,Eualaria fistulosa,Macrophyte,Macrophyte,Heterokonta,Primary producer,Autotroph,Plant,Yes,1,Larval,native,59.750063,-151.088213,59.750063,1,Alaska,Esturine,Polar,Lab gen,Temp,Increase,17,8,9,Constant,0,0,None,None,0,1,0,1,No,Lab,Ind,Yes,Reproduction,Spore settlement,1,4.7681,0.4378,15.2908,0.5718,(±SE),0.978950561,1.27858367,Fig. 2,5,5
Lind & Konar 2017,2017,3,Heterokonta,Heterokonta,Eualaria fistulosa,Macrophyte,Macrophyte,Heterokonta,Primary producer,Autotroph,Plant,Yes,1,Larval,native,59.750063,-151.088213,59.750063,1,Alaska,Esturine,Polar,Lab gen,Temp,Increase,21,12,9,Constant,0,0,None,None,0,1,0,1,No,Lab,Ind,Yes,Reproduction,Spore settlement,1,4.1141,0.5277,15.2908,0.5718,(±SE),1.179973072,1.27858367,Fig. 2,5,5
Lind & Konar 2017,2017,3,Heterokonta,Heterokonta,Nereocystis luetkeana,Macrophyte,Macrophyte,Heterokonta,Primary producer,Autotroph,Plant,Yes,1,Larval,native,59.750063,-151.088213,59.750063,1,Alaska,Esturine,Polar,Lab gen,Temp,Increase,13,4,9,Constant,0,0,None,None,0,1,0,1,No,Lab,Ind,Yes,Reproduction,Spore settlement,1,20.6994,1.8187,23.7459,1.598,(±SE),4.066736831,3.573236628,Fig. 2,5,5
Lind & Konar 2017,2017,3,Heterokonta,Heterokonta,Nereocystis luetkeana,Macrophyte,Macrophyte,Heterokonta,Primary producer,Autotroph,Plant,Yes,1,Larval,native,59.750063,-151.088213,59.750063,1,Alaska,Esturine,Polar,Lab gen,Temp,Increase,17,8,9,Constant,0,0,None,None,0,1,0,1,No,Lab,Ind,Yes,Reproduction,Spore settlement,1,17.511,1.1547,23.7459,1.598,(±SE),2.581987694,3.573236628,Fig. 2,5,5
Lind & Konar 2017,2017,3,Heterokonta,Heterokonta,Nereocystis luetkeana,Macrophyte,Macrophyte,Heterokonta,Primary producer,Autotroph,Plant,Yes,1,Larval,native,59.750063,-151.088213,59.750063,1,Alaska,Esturine,Polar,Lab gen,Temp,Increase,21,12,9,Constant,0,0,None,None,0,1,0,1,No,Lab,Ind,Yes,Reproduction,Spore settlement,1,11.71,0.7092,23.7459,1.598,(±SE),1.58581941,3.573236628,Fig. 2,5,5
Lind & Konar 2017,2017,3,Heterokonta,Heterokonta,Saccharina latissima,Macrophyte,Macrophyte,Heterokonta,Primary producer,Autotroph,Plant,Yes,1,Larval,native,59.750063,-151.088213,59.750063,1,Alaska,Esturine,Polar,Lab gen,Temp,Increase,13,4,9,Constant,0,0,None,None,0,1,0,1,No,Lab,Ind,Yes,Reproduction,Spore settlement,1,14.2435,1.078,16.8187,1.3935,(±SE),2.41048128,3.115960727,Fig. 2,5,5
Lind & Konar 2017,2017,3,Heterokonta,Heterokonta,Saccharina latissima,Macrophyte,Macrophyte,Heterokonta,Primary producer,Autotroph,Plant,Yes,1,Larval,native,59.750063,-151.088213,59.750063,1,Alaska,Esturine,Polar,Lab gen,Temp,Increase,17,8,9,Constant,0,0,None,None,0,1,0,1,No,Lab,Ind,Yes,Reproduction,Spore settlement,1,13.1069,0.9889,16.8187,1.3935,(±SE),2.211247623,3.115960727,Fig. 2,5,5
Lind & Konar 2017,2017,3,Heterokonta,Heterokonta,Saccharina latissima,Macrophyte,Macrophyte,Heterokonta,Primary producer,Autotroph,Plant,Yes,1,Larval,native,59.750063,-151.088213,59.750063,1,Alaska,Esturine,Polar,Lab gen,Temp,Increase,21,12,9,Constant,0,0,None,None,0,1,0,1,No,Lab,Ind,Yes,Reproduction,Spore settlement,1,5.8532,0.6302,16.8187,1.3935,(±SE),1.409170039,3.115960727,Fig. 2,5,5
Liu & Zou 2014,2014,1,Rhodophyta,Rhodophyta,Pyropia haitanensis,Macrophyte,Macrophyte,Rhodophyta,Primary producer,Autotroph,Plant,Yes,1,Adult,native,23.405506,117.06834,23.405506,1,China,Marine,Tropical,Winter,Temp,Increase,22,4,18,Constant,3,0,None,None,0,21,0,21,No,Lab,Ind,Yes,Growth,Growth,1,3.4924,1.0878,5.1026,0.1574,(±SD),1.0878,0.1574,Fig. 1,3,3
Lockwood et al 2010,2010,2,Mollusca,Bivalvia,Mytilus galloprovincialis,Mussel,Mollusca,Mollusca,FiltSus feeder,Heterotroph,Animal,Yes,1,Adult,nns,34.40379,-119.692249,34.40379,1,USA,Marine,Mediterranean,Spring,Temp,Increase,24,11,13,Ramping,28,6,Hour,Hour,0.0833333,0.0416667,0,0.125,No,Lab,Ind,Yes,Metabolic Indicators,Heat Shock Protein,1,5.0554,1.1293,0.0719,0.0336,(±SE),2.766208767,0.082302855,Fig. 3,6,6
Lockwood et al 2010,2010,2,Mollusca,Bivalvia,Mytilus galloprovincialis,Mussel,Mollusca,Mollusca,FiltSus feeder,Heterotroph,Animal,Yes,1,Adult,nns,34.40379,-119.692249,34.40379,1,USA,Marine,Mediterranean,Spring,Temp,Increase,28,15,13,Ramping,28,6,Hour,Hour,0.104167,0.0416667,0,0.1458337,No,Lab,Ind,Yes,Metabolic Indicators,Heat Shock Protein,1,5.3404,1.2876,0.0719,0.0336,(±SE),3.153962993,0.082302855,Fig. 3,6,6
Lockwood et al 2010,2010,2,Mollusca,Bivalvia,Mytilus galloprovincialis,Mussel,Mollusca,Mollusca,FiltSus feeder,Heterotroph,Animal,Yes,1,Adult,nns,34.40379,-119.692249,34.40379,1,USA,Marine,Mediterranean,Spring,Temp,Increase,32,19,13,Ramping,28,6,Hour,Hour,0.129167,0.0416667,0,0.1708337,No,Lab,Ind,Yes,Metabolic Indicators,Heat Shock Protein,1,4.4,1.257,0.0719,0.0336,(±SE),3.079008607,0.082302855,Fig. 3,6,6
Lockwood et al 2010,2010,2,Mollusca,Bivalvia,Mytilus trossulus,Mussel,Mollusca,Mollusca,FiltSus feeder,Heterotroph,Animal,Yes,1,Adult,native,34.40379,-119.692249,34.40379,1,USA,Marine,Mediterranean,Spring,Temp,Increase,24,11,13,Ramping,28,6,Hour,Hour,0.0833333,0.0416667,0,0.125,No,Lab,Ind,Yes,Metabolic Indicators,Heat Shock Protein,1,5.1082,1.2031,0.2322,0.1689,(±SE),2.94698111,0.413718818,Fig. 3,6,6
Lockwood et al 2010,2010,2,Mollusca,Bivalvia,Mytilus trossulus,Mussel,Mollusca,Mollusca,FiltSus feeder,Heterotroph,Animal,Yes,1,Adult,native,34.40379,-119.692249,34.40379,1,USA,Marine,Mediterranean,Spring,Temp,Increase,28,15,13,Ramping,28,6,Hour,Hour,0.104167,0.0416667,0,0.1458337,No,Lab,Ind,Yes,Metabolic Indicators,Heat Shock Protein,1,5.0026,1.0766,0.2322,0.1689,(±SE),2.637120657,0.413718818,Fig. 3,6,6
Lockwood et al 2010,2010,2,Mollusca,Bivalvia,Mytilus trossulus,Mussel,Mollusca,Mollusca,FiltSus feeder,Heterotroph,Animal,Yes,1,Adult,native,34.40379,-119.692249,34.40379,1,USA,Marine,Mediterranean,Spring,Temp,Increase,32,19,13,Ramping,28,6,Hour,Hour,0.129167,0.0416667,0,0.1708337,No,Lab,Ind,Yes,Metabolic Indicators,Heat Shock Protein,1,5.2137,1.0238,0.2322,0.1689,(±SE),2.507787599,0.413718818,Fig. 3,6,6
Lopes et al 2018,2018,1,Cnidaria,Cnidaria,Veretillum cynomorium,Coral,Cnidaria,Cnidaria,FiltSus feeder,Heterotroph,Animal,No,1,Adult,native,38.459116,-8.725809,38.459116,1,Portugal,Marine,Mediterranean,Spring,Temp,Increase,26,7,19,Constant,15,0,None,None,0,60,0,60,No,Lab,Ind,Yes,Metabolic Indicators,Oxidative Stress,-1,0.2217,0.0887,0.1564,0.0803,(±SD),0.0887,0.0803,Fig. 2,3,3
Lopes et al 2018,2018,1,Cnidaria,Cnidaria,Veretillum cynomorium,Coral,Cnidaria,Cnidaria,FiltSus feeder,Heterotroph,Animal,No,1,Adult,native,38.459116,-8.725809,38.459116,1,Portugal,Marine,Mediterranean,Spring,Temp,Increase,26,7,19,Constant,15,0,None,None,0,60,0,60,No,Lab,Ind,Yes,Metabolic Indicators,Heat Shock Protein,1,599.4928,270.4477,214.0459,126.6345,(±SD),270.4477,126.6345,Fig. 3,3,3
Lord & Whitlatch 2015,2015,6,Bryozoa,Bryozoa,Watersipora subatra,Bryozoan,Bryozoa,Bryozoa,FiltSus feeder,Heterotroph,Animal,Yes,3,Adult,nns,32.869167,-117.250259,32.869167,6,USA,Marine,Mediterranean,Summer,Temp,Increase,25,3,22,Flucuating,0,0,None,None,0,21,0,21,No,Lab,Pop,Yes,Growth,Growth,1,1.074,0.0297,1.096,0.0298,(±SE),0.093919647,0.094235874,Fig. 2f,10,10
Lord & Whitlatch 2015,2015,6,Bryozoa,Bryozoa,Watersipora subatra,Bryozoan,Bryozoa,Bryozoa,FiltSus feeder,Heterotroph,Animal,Yes,3,Adult,nns,38.42114,-123.055879,38.42114,6,USA,Marine,Mediterranean,Summer,Temp,Increase,25,3,22,Flucuating,0,0,None,None,0,21,0,21,No,Lab,Pop,Yes,Growth,Growth,1,1.3504,0.1103,1.2315,0.0593,(±SE),0.348799226,0.187523065,Fig. 2f,10,10
Lord & Whitlatch 2015,2015,6,Chordata,Tunicata,Botrylloides violaceus,Ascidian,Chordata,Chordata,FiltSus feeder,Heterotroph,Animal,Yes,3,Adult,native,43.357099,-124.327916,43.357099,6,USA,Marine,Mediterranean,Summer,Temp,Increase,25,3,22,Flucuating,0,0,None,None,0,21,0,21,No,Lab,Pop,Yes,Growth,Growth,1,2.5737,0.2178,2.2096,0.1861,(±SE),0.688744074,0.588499873,Fig. 2c,10,10
Lord & Whitlatch 2015,2015,6,Chordata,Tunicata,Botrylloides violaceus,Ascidian,Chordata,Chordata,FiltSus feeder,Heterotroph,Animal,Yes,3,Adult,native,38.42114,-123.055879,38.42114,6,USA,Marine,Mediterranean,Summer,Temp,Increase,25,3,22,Flucuating,0,0,None,None,0,21,0,21,No,Lab,Pop,Yes,Growth,Growth,1,2.0096,0.1624,2.4259,0.2021,(±SE),0.513553892,0.639096315,Fig. 2c,10,10
Lord & Whitlatch 2015,2015,6,Chordata,Tunicata,Botrylloides violaceus,Ascidian,Chordata,Chordata,FiltSus feeder,Heterotroph,Animal,Yes,3,Adult,native,57.050294,-135.323485,57.050294,6,USA,Marine,Polar,Summer,Temp,Increase,25,3,22,Flucuating,0,0,None,None,0,21,0,21,No,Lab,Pop,Yes,Growth,Growth,1,2.5036,0.329,1.3825,0.0437,(±SE),1.04038935,0.138191534,Fig. 2c,10,10
Lord & Whitlatch 2015,2015,6,Chordata,Tunicata,Botryllus schlosseri,Ascidian,Chordata,Chordata,FiltSus feeder,Heterotroph,Animal,Yes,3,Adult,native,32.869167,-117.250259,32.869167,6,USA,Marine,Mediterranean,Summer,Temp,Increase,25,3,22,Flucuating,0,0,None,None,0,21,0,21,No,Lab,Pop,Yes,Growth,Growth,1,1.1327,0.2222,1.6888,0.3597,(±SE),0.702658096,1.137471274,Fig. 2a,10,10
Lord & Whitlatch 2015,2015,6,Chordata,Tunicata,Botryllus schlosseri,Ascidian,Chordata,Chordata,FiltSus feeder,Heterotroph,Animal,Yes,3,Adult,native,43.357099,-124.327916,43.357099,6,USA,Marine,Mediterranean,Summer,Temp,Increase,25,3,22,Flucuating,0,0,None,None,0,21,0,21,No,Lab,Pop,Yes,Growth,Growth,1,2.8244,0.3067,2.1106,0.111,(±SE),0.969870558,0.35101282,Fig. 2a,10,10
Lord & Whitlatch 2015,2015,6,Chordata,Tunicata,Botryllus schlosseri,Ascidian,Chordata,Chordata,FiltSus feeder,Heterotroph,Animal,Yes,3,Adult,native,38.42114,-123.055879,38.42114,6,USA,Marine,Mediterranean,Summer,Temp,Increase,25,3,22,Flucuating,0,0,None,None,0,21,0,21,No,Lab,Pop,Yes,Growth,Growth,1,2.5788,0.106,2.167,0.132,(±SE),0.335201432,0.417420651,Fig. 2a,10,10
Lord & Whitlatch 2015,2015,6,Chordata,Tunicata,Botryllus violaceus,Ascidian,Chordata,Chordata,FiltSus feeder,Heterotroph,Animal,Yes,3,Adult,nns,41.318687,-72.064892,41.318687,6,USA,Marine,Temperate,Summer,Temp,Increase,25,3,22,Flucuating,0,0,None,None,0,21,0,21,No,Lab,Pop,Yes,Growth,Growth,1,0.6989,0.0636,0.9855,0.0527,(±SE),0.201120859,0.166652033,Fig. 2b,10,10
Lord & Whitlatch 2015,2015,6,Chordata,Tunicata,Botryllus violaceus,Ascidian,Chordata,Chordata,FiltSus feeder,Heterotroph,Animal,Yes,3,Adult,nns,43.941714,-69.569208,43.941714,6,USA,Marine,Temperate,Summer,Temp,Increase,25,3,22,Flucuating,0,0,None,None,0,21,0,21,No,Lab,Pop,Yes,Growth,Growth,1,2.9234,0.2644,1.9186,0.0951,(±SE),0.836106213,0.300732605,Fig. 2b,10,10
Lord & Whitlatch 2015,2015,6,Chordata,Tunicata,Didemnum vexillum,Ascidian,Chordata,Chordata,FiltSus feeder,Heterotroph,Animal,Yes,3,Adult,nns,43.941714,-69.569208,43.941714,6,USA,Marine,Temperate,Summer,Temp,Increase,25,3,22,Flucuating,0,0,None,None,0,21,0,21,No,Lab,Pop,Yes,Growth,Growth,1,2.5462,0.1624,1.9997,0.111,(±SE),0.513553892,0.35101282,Fig. 2d,10,10
Lord & Whitlatch 2015,2015,6,Chordata,Tunicata,Didemnum vexillum,Ascidian,Chordata,Chordata,FiltSus feeder,Heterotroph,Animal,Yes,3,Adult,nns,41.318687,-72.064892,41.318687,6,USA,Marine,Temperate,Summer,Temp,Increase,25,3,22,Flucuating,0,0,None,None,0,21,0,21,No,Lab,Pop,Yes,Growth,Growth,1,2.0852,0.0395,2.5135,0.1347,(±SE),0.124909968,0.425958801,Fig. 2d,10,10
Lord & Whitlatch 2015,2015,6,Chordata,Tunicata,Distaplia occidentalis,Ascidian,Chordata,Chordata,FiltSus feeder,Heterotroph,Animal,Yes,3,Adult,native,43.357099,-124.327916,43.357099,6,USA,Marine,Mediterranean,Summer,Temp,Increase,25,3,22,Flucuating,0,0,None,None,0,21,0,21,No,Lab,Pop,Yes,Growth,Growth,1,0.9649,0.0658,0.9519,0.036,(±SE),0.20807787,0.113841996,Fig. 2e,10,10
Lord & Whitlatch 2015,2015,6,Chordata,Tunicata,Distaplia occidentalis,Ascidian,Chordata,Chordata,FiltSus feeder,Heterotroph,Animal,Yes,3,Adult,native,38.42114,-123.055879,38.42114,6,USA,Marine,Mediterranean,Summer,Temp,Increase,25,3,22,Flucuating,0,0,None,None,0,21,0,21,No,Lab,Pop,Yes,Growth,Growth,1,0.9766,0.0382,1.4553,0.5519,(±SE),0.120799007,1.745261041,Fig. 2e,10,10
Lord et al 2017,2017,5,Mollusca,Gastropoda,Nucella ostrina,Whelk,Mollusca,Mollusca,Grazer,Heterotroph,Animal,No,1,Adult,native,36.611337,-121.954886,36.611337,1,USA,Marine,Mediterranean,Spring,Temp,Increase,16.5,2,14.5,Flucuating,7,0,None,None,0,70,0,70,No,Lab,Int,Yes,Feeding Ability,Feeding ability,1,0.4321,0.0241,0.3274,0.0559,(±SE),0.068165094,0.158109076,Fig. 3a,8,8
Lord et al 2017,2017,5,Mollusca,Gastropoda,Nucella ostrina,Whelk,Mollusca,Mollusca,Grazer,Heterotroph,Animal,No,1,Adult,native,36.611337,-121.954886,36.611337,1,USA,Marine,Mediterranean,Spring,Temp,Increase,16.5,2,14.5,Flucuating,7,0,None,None,0,70,0,70,No,Lab,Int,Yes,Growth,Growth,1,0.5269,0.083,0.3904,0.0993,(±SE),0.234759451,0.280862813,Fig. 3c,8,8
Mabin et al 2019,2019,1,Heterokonta,Heterokonta,Macrocystis pyrifera,Macrophyte,Macrophyte,Heterokonta,Primary producer,Autotroph,Plant,Yes,1,Juv,native,-43.129809,147.961202,43.129809,1,Australia,Marine,Temperate,Spring,Temp,Increase,17,5,12,Constant,1,2,Day,Day,3,28,0,31,No,Lab,Ind,Yes,Critical Biological Rate,Photosynthesis,1,0.7387,0.0158,0.7402,0.0128,(±SE),0.054732806,0.044340501,Fig. 1f,12,12
Mabin et al 2019,2019,1,Heterokonta,Heterokonta,Macrocystis pyrifera,Macrophyte,Macrophyte,Heterokonta,Primary producer,Autotroph,Plant,Yes,1,Juv,native,-43.129809,147.961202,43.129809,1,Australia,Marine,Temperate,Spring,Temp,Increase,22,10,12,Constant,1,2,Day,Day,3,28,0,31,No,Lab,Ind,Yes,Critical Biological Rate,Photosynthesis,1,0.6394,0.0671,0.7402,0.0128,(±SE),0.232441218,0.044340501,Fig. 1f,12,12
Madariaga et al 2014,2014,2,Chlorophyta,Chlorophyta,Codium fragile,Macrophyte,Macrophyte,Chlorophyta,Primary producer,Autotroph,Plant,Yes,2,Adult,nns,-29.953344,-71.326165,29.953344,1,Chile,Marine,Temperate,Spring,Sal,Decrease,25,10,35,Flucuating,0,0,None,None,0,8,0,8,No,Lab,Ind,Yes,Critical Biological Rate,Photosynthesis,1,0.7519,0.0349,0.7614,0.0408,(±SD),0.0349,0.0408,Fig. 2,10,10
Madariaga et al 2014,2014,2,Chlorophyta,Chlorophyta,Codium fragile,Macrophyte,Macrophyte,Chlorophyta,Primary producer,Autotroph,Plant,Yes,2,Adult,nns,-29.953344,-71.326165,29.953344,1,Chile,Marine,Temperate,Spring,Sal,Increase,45,10,35,Flucuating,0,0,None,None,0,8,0,8,No,Lab,Ind,Yes,Critical Biological Rate,Photosynthesis,1,0.7327,0.0287,0.7614,0.0408,(±SD),0.0287,0.0408,Fig. 2,10,10
Madariaga et al 2014,2014,2,Chlorophyta,Chlorophyta,Codium fragile,Macrophyte,Macrophyte,Chlorophyta,Primary producer,Autotroph,Plant,Yes,2,Adult,nns,-29.953344,-71.326165,29.953344,1,Chile,Marine,Temperate,Spring,Sal,Decrease,15,20,35,Flucuating,0,0,None,None,0,8,0,8,No,Lab,Ind,Yes,Critical Biological Rate,Photosynthesis,1,0.6824,0.0371,0.7614,0.0408,(±SD),0.0371,0.0408,Fig. 2,10,10
